2026-04-22 16:47:52,708 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:49:36,223 [BLOCK] ICMP 192.168.64 -> 8.8.8 | rule: Block ICMP
2026-04-22 16:49:36,241 [BLOCK] ICMP 8.8.8 -> 192.168.64 | rule: Block ICMP
2026-04-22 16:49:37,224 [BLOCK] ICMP 192.168.64 -> 8.8.8 | rule: Block ICMP
2026-04-22 16:49:37,243 [BLOCK] ICMP 8.8.8 -> 192.168.64 | rule: Block ICMP
2026-04-22 16:49:38,225 [BLOCK] ICMP 192.168.64 -> 8.8.8 | rule: Block ICMP
2026-04-22 16:49:38,247 [BLOCK] ICMP 8.8.8 -> 192.168.64 | rule: Block ICMP
2026-04-22 16:49:39,230 [BLOCK] ICMP 192.168.64 -> 8.8.8 | rule: Block ICMP
2026-04-22 16:49:39,249 [BLOCK] ICMP 8.8.8 -> 192.168.64 | rule: Block ICMP
2026-04-22 17:03:26,288 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 17:03:26,299 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 17:03:27,289 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 17:03:27,305 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 17:03:28,295 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 17:03:28,342 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 17:03:29,297 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 17:03:29,306 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 17:03:30,297 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 17:03:30,327 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 17:03:30,327 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:30,438 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:30,438 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:30,482 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
